date,kickoff_utc,group,home,away,city,status,result,p_home,p_draw,p_away,xg_home,xg_away,xg_total,score_1,p_score_1,score_2,p_score_2,score_3,p_score_3,p_over_2.5,p_under_2.5,p_btts,elo_home,elo_away,attack_home,defense_home,attack_away,defense_away,model_version,frozen_at
2026-06-14,2026-06-14T23:00:00+00:00,E,Ivory Coast,Ecuador,Philadelphia,jugado,1-0,0.2882,0.3264,0.3854,0.711,0.8376,1.5486,0-1,0.2031,0-0,0.1974,1-0,0.1482,0.2026,0.7974,0.2743,1845.5126,1962.2449,1.305,0.5197,1.0237,0.4345,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-14,2026-06-15T02:00:00+00:00,F,Sweden,Tunisia,Guadalupe,jugado,5-1,0.4559,0.263,0.2811,1.6414,1.3073,2.9486,1-1,0.1225,2-1,0.0995,1-0,0.0853,0.5639,0.4361,0.6008,1806.4585,1665.2179,1.4151,0.9703,1.0667,0.7985,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-15,2026-06-15T16:00:00+00:00,H,Spain,Cape Verde,Atlanta,jugado,0-0,0.7978,0.154,0.0482,2.1702,0.5014,2.6715,2-0,0.1713,1-0,0.1676,3-0,0.1134,0.5023,0.4977,0.3692,2329.1025,1701.1854,1.8885,0.399,1.0774,0.7713,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-15,2026-06-15T19:00:00+00:00,G,Belgium,Egypt,Seattle,jugado,1-1,0.5053,0.2692,0.2255,1.4916,0.9379,2.4294,1-0,0.1319,1-1,0.1272,2-0,0.0988,0.4386,0.5614,0.4792,2028.2272,1853.1517,1.8279,0.5938,1.218,0.5728,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-15,2026-06-15T22:00:00+00:00,H,Saudi Arabia,Uruguay,Miami Gardens,jugado,1-1,0.2027,0.2909,0.5063,0.6578,1.1817,1.8395,0-1,0.2039,0-0,0.1507,1-1,0.1169,0.2804,0.7196,0.3323,1711.7359,1924.1162,0.9592,0.7273,1.0838,0.5459,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-15,2026-06-16T01:00:00+00:00,G,Iran,New Zealand,Inglewood,jugado,2-2,0.5625,0.2454,0.1921,1.8281,1.0061,2.8342,1-1,0.1165,1-0,0.1033,2-1,0.101,0.5378,0.4622,0.5429,1887.2919,1680.4279,1.4235,0.582,1.3019,0.9271,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-16,2026-06-16T19:00:00+00:00,I,France,Senegal,East Rutherford,jugado,3-1,0.5374,0.2472,0.2154,1.8374,1.211,3.0484,1-1,0.114,2-1,0.1129,1-0,0.0921,0.5873,0.4127,0.609,2143.9726,1877.9078,1.9083,0.6061,1.6835,0.632,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-16,2026-06-16T22:00:00+00:00,I,Iraq,Norway,Foxborough,jugado,1-4,0.1194,0.2106,0.67,0.816,2.0608,2.8768,0-2,0.1209,0-1,0.117,1-2,0.1053,0.5489,0.4511,0.5011,1671.3975,2025.4733,0.929,0.812,1.7876,0.6879,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-16,2026-06-17T01:00:00+00:00,J,Argentina,Algeria,Kansas City,jugado,3-0,0.64,0.2264,0.1336,1.8324,0.8209,2.6534,1-0,0.1414,2-0,0.1213,2-1,0.1164,0.497,0.503,0.4907,2251.4898,1862.3038,1.9508,0.4372,1.6105,0.6153,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-16,2026-06-17T04:00:00+00:00,J,Austria,Jordan,Santa Clara,jugado,3-1,0.5179,0.2524,0.2297,1.8076,1.165,2.9726,1-1,0.118,2-1,0.0989,1-0,0.0876,0.569,0.431,0.5866,1896.0747,1735.7165,1.4219,0.6784,1.2918,0.919,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-17,2026-06-17T17:00:00+00:00,K,Portugal,DR Congo,Houston,jugado,1-1,0.5466,0.2712,0.1822,1.3721,0.7057,2.0778,1-0,0.1839,0-0,0.1217,2-0,0.1201,0.3455,0.6545,0.3828,2063.712,1811.9717,1.7107,0.5279,1.0769,0.5392,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-17,2026-06-17T20:00:00+00:00,L,England,Croatia,Arlington,jugado,4-2,0.5676,0.2452,0.1872,1.7993,1.0013,2.8006,1-1,0.1165,1-0,0.1104,2-1,0.1071,0.5307,0.4693,0.5421,2200.9698,1950.8052,1.7762,0.5554,1.4277,0.7024,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-17,2026-06-17T23:00:00+00:00,L,Ghana,Panama,Toronto,jugado,1-0,0.3071,0.2887,0.4042,1.0522,1.213,2.2651,1-1,0.1345,0-1,0.1282,0-0,0.1072,0.3957,0.6043,0.4607,1685.3004,1773.0622,0.9864,0.7159,1.1709,0.8265,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-17,2026-06-18T02:00:00+00:00,K,Uzbekistan,Colombia,Mexico City,jugado,1-3,0.1223,0.2257,0.652,0.683,1.789,2.4721,0-1,0.1567,0-2,0.1375,1-1,0.1049,0.4501,0.5499,0.4236,1741.6376,2088.4248,1.0699,0.809,1.5353,0.5062,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-18,2026-06-18T16:00:00+00:00,A,Czech Republic,South Africa,Atlanta,jugado,1-1,0.389,0.2887,0.3224,1.1991,1.091,2.2901,1-1,0.135,1-0,0.1217,0-0,0.1052,0.4022,0.5978,0.4672,1760.9117,1697.8966,1.2663,0.8514,0.979,0.6635,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-18,2026-06-18T19:00:00+00:00,B,Switzerland,Bosnia and Herzegovina,Inglewood,jugado,4-1,0.6491,0.2217,0.1292,1.92,0.7792,2.6992,1-0,0.1301,2-0,0.1252,1-1,0.1054,0.5066,0.4934,0.474,2007.1029,1681.6335,1.5459,0.6147,0.9855,0.877,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-18,2026-06-18T22:00:00+00:00,B,Canada,Qatar,Vancouver,jugado,6-0,0.7425,0.1745,0.083,2.468,0.749,3.217,2-0,0.1206,3-0,0.0995,1-0,0.0939,0.6217,0.3783,0.4908,1851.4771,1539.192,1.2244,0.5935,0.9303,1.1309,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-18,2026-06-19T01:00:00+00:00,A,Mexico,South Korea,Zapopan,jugado,1-0,0.582,0.2458,0.1722,1.7274,0.8752,2.6026,1-0,0.1295,1-1,0.1169,2-0,0.1116,0.4827,0.5173,0.4911,2023.1697,1844.2331,1.3832,0.5243,1.3071,0.6652,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-19,2026-06-19T19:00:00+00:00,D,United States,Australia,Seattle,jugado,2-0,0.3719,0.2734,0.3547,1.3959,1.3736,2.7695,1-1,0.1295,2-1,0.0851,1-0,0.0823,0.5222,0.4778,0.5708,1860.6739,1917.2192,1.4104,0.8281,1.2439,0.544,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-19,2026-06-19T22:00:00+00:00,C,Scotland,Morocco,Foxborough,jugado,0-1,0.1625,0.2585,0.579,0.658,1.5158,2.1738,0-1,0.169,0-2,0.1323,0-0,0.1153,0.371,0.629,0.3755,1828.5164,2039.1695,1.205,0.7317,1.5199,0.3947,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-19,2026-06-20T00:30:00+00:00,C,Brazil,Haiti,Philadelphia,jugado,3-0,0.6973,0.1937,0.109,2.3418,0.9586,3.3004,2-1,0.109,2-0,0.1031,1-1,0.0889,0.6409,0.3591,0.5776,2075.1489,1661.5815,1.8243,0.57,1.3602,0.8863,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-19,2026-06-20T03:00:00+00:00,D,Turkey,Paraguay,Santa Clara,jugado,0-1,0.3768,0.2921,0.331,1.1514,1.063,2.2145,1-1,0.135,1-0,0.1224,0-0,0.1124,0.3821,0.6179,0.4492,1928.5571,1902.865,1.4228,0.7534,1.0354,0.5879,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-20,2026-06-20T17:00:00+00:00,F,Netherlands,Sweden,Houston,jugado,5-1,0.6237,0.2144,0.1619,2.3784,1.1969,3.5753,2-1,0.0935,1-1,0.0921,2-0,0.0774,0.6891,0.3109,0.6449,2053.3527,1806.4585,1.802,0.6264,1.4151,0.9703,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-20,2026-06-20T20:00:00+00:00,E,Germany,Ivory Coast,Toronto,jugado,2-1,0.4558,0.2739,0.2703,1.4418,1.1061,2.548,1-1,0.1305,1-0,0.1155,2-1,0.0986,0.4688,0.5312,0.5203,1996.766,1845.5126,1.8859,0.6766,1.305,0.5197,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-20,2026-06-21T00:00:00+00:00,E,Ecuador,Curaçao,Kansas City,jugado,0-0,0.6402,0.2385,0.1213,1.5688,0.5813,2.1501,1-0,0.2001,2-0,0.147,0-0,0.1097,0.3648,0.6352,0.3592,1962.2449,1591.2036,1.0237,0.4345,1.1125,1.0196,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-20,2026-06-21T04:00:00+00:00,F,Tunisia,Japan,Guadalupe,jugado,0-4,0.1235,0.2227,0.6538,0.7038,1.8629,2.5667,0-1,0.143,0-2,0.1345,1-1,0.1045,0.4737,0.5263,0.4357,1665.2179,1984.3392,1.0667,0.7985,1.6661,0.5036,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-21,2026-06-21T16:00:00+00:00,H,Spain,Saudi Arabia,Atlanta,jugado,4-0,0.792,0.1596,0.0484,2.052,0.4455,2.4974,1-0,0.1895,2-0,0.182,3-0,0.1136,0.4574,0.5426,0.3309,2329.1025,1711.7359,1.8885,0.399,0.9592,0.7273,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-21,2026-06-21T19:00:00+00:00,G,Belgium,Iran,Inglewood,jugado,0-0,0.4712,0.2699,0.2589,1.5151,1.0945,2.6096,1-1,0.1286,1-0,0.1103,2-1,0.0976,0.484,0.516,0.5284,2028.2272,1887.2919,1.8279,0.5938,1.4235,0.582,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-21,2026-06-21T22:00:00+00:00,H,Uruguay,Cape Verde,Miami Gardens,jugado,2-2,0.5108,0.2836,0.2056,1.26,0.726,1.986,1-0,0.1873,0-0,0.1326,1-1,0.1216,0.3206,0.6794,0.3721,1924.1162,1701.1854,1.0838,0.5459,1.0774,0.7713,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-21,2026-06-22T01:00:00+00:00,G,New Zealand,Egypt,Vancouver,jugado,1-3,0.2217,0.2632,0.5151,0.9798,1.5858,2.5656,1-1,0.1253,0-1,0.1199,1-2,0.0986,0.473,0.527,0.5053,1680.4279,1853.1517,1.3019,0.9271,1.218,0.5728,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-22,2026-06-22T17:00:00+00:00,J,Argentina,Austria,Arlington,jugado,2-0,0.6553,0.2198,0.1249,1.914,0.7764,2.6905,1-0,0.1344,2-0,0.1264,2-1,0.1071,0.505,0.495,0.4752,2251.4898,1896.0747,1.9508,0.4372,1.4219,0.6784,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-22,2026-06-22T21:00:00+00:00,I,France,Iraq,Philadelphia,jugado,3-0,0.7403,0.1801,0.0796,2.2313,0.6989,2.9302,2-0,0.1363,1-0,0.1242,2-1,0.1046,0.5624,0.4376,0.4661,2143.9726,1671.3975,1.9083,0.6061,0.929,0.812,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-22,2026-06-23T00:00:00+00:00,I,Norway,Senegal,East Rutherford,jugado,3-2,0.4432,0.2605,0.2963,1.68,1.4276,3.1076,1-1,0.1183,2-1,0.0998,1-0,0.0758,0.5985,0.4015,0.6319,2025.4733,1877.9078,1.7876,0.6879,1.6835,0.632,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
2026-06-22,2026-06-23T03:00:00+00:00,J,Jordan,Algeria,Santa Clara,jugado,1-2,0.2155,0.245,0.5395,1.1311,1.9363,3.0674,1-1,0.114,1-2,0.0915,0-2,0.0845,0.5888,0.4112,0.5861,1735.7165,1862.3038,1.2918,0.919,1.6105,0.6153,0.2.0+18f3178,2026-08-24T07:09:43.046940+00:00
